step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,829.07,C1629353699,11199.0,10369.93,M99808631,0.0,0.0,0,0
1,PAYMENT,885.9,C1027569178,1810.6,924.7,M893835279,0.0,0.0,0,0
1,CASH_IN,404167.6,C984412970,4910403.44,4910403.44,C11003494,4910403.44,10588885.27,0,0
1,DEBIT,930.99,C2017393480,18354.65,17423.66,C1032986144,17230.8,18161.79,0,0
2,DEBIT,4122.31,C266376067,20666.0,16543.69,C657736958,6086706.95,5792135.89,0,0
3,PAYMENT,320.37,C1801756410,557054.0,556733.63,M1710180594,0.0,0.0,0,0
4,PAYMENT,2713.07,C1789387126,96360.0,93646.93,M1386999197,0.0,0.0,0,0
5,CASH_IN,334503.92,C25187203,4467438.3,4801942.23,C667346055,10492866.37,9827546.97,0,0
5,PAYMENT,6324.03,C1809269661,31237.0,24912.97,M1653318246,0.0,0.0,0,0
7,TRANSFER,498910.36,C1772106148,148340.81,0.0,C769342184,12756498.7,12450400.32,0,0
7,TRANSFER,1067743.66,C1369314550,20921.0,0.0,C12793273,0.0,1658746.09,0,0
7,PAYMENT,21191.67,C228732988,43840.85,22649.18,M1924533224,0.0,0.0,0,0
7,PAYMENT,7990.18,C380669887,130850.0,122859.82,M876013030,0.0,0.0,0,0
7,PAYMENT,8399.95,C1965803324,12006.09,3606.14,M1810260034,0.0,0.0,0,0
7,CASH_OUT,103478.46,C600696341,0.0,0.0,C9916873,195285.0,790472.9,0,0
7,TRANSFER,11494.72,C205551798,0.0,0.0,C1181733275,340262.0,54458.08,0,0
7,CASH_OUT,51649.08,C1597105101,0.0,0.0,C1865370526,60607.0,83658.63,0,0
7,TRANSFER,328632.66,C973131211,4778.0,0.0,C1354952534,849307.49,1868994.9,0,0
7,PAYMENT,15856.11,C273331579,89767.63,73911.52,M1593184149,0.0,0.0,0,0
8,PAYMENT,3356.88,C1944315866,0.0,0.0,M624830750,0.0,0.0,0,0
8,PAYMENT,5268.1,C1430251794,0.0,0.0,M799225701,0.0,0.0,0,0
8,PAYMENT,4990.87,C1422945222,21042.0,16051.13,M1030054228,0.0,0.0,0,0
8,CASH_OUT,32219.37,C1431002133,492652.0,460432.63,C1649686970,106747.86,0.0,0,0
8,PAYMENT,16065.53,C1220277566,84675.0,68609.47,M190019040,0.0,0.0,0,0
8,PAYMENT,7873.75,C1816012719,3771.04,0.0,M1253896197,0.0,0.0,0,0
8,PAYMENT,7771.26,C810009434,49629.0,41857.74,M1015133310,0.0,0.0,0,0
8,CASH_OUT,119472.41,C1636905823,18653.0,0.0,C2129901484,170557.39,223250.64,0,0
8,CASH_IN,77180.41,C609692380,833313.89,910494.3,C1079554968,298717.97,260382.39,0,0
8,PAYMENT,1810.17,C1186409643,252311.0,250500.83,M257399049,0.0,0.0,0,0
8,CASH_OUT,59408.82,C1184233794,0.0,0.0,C1242584406,146459.11,203751.7,0,0
8,CASH_IN,213724.83,C1519846315,15470029.49,15683754.32,C1222590577,897970.51,1196871.13,0,0
8,TRANSFER,1141661.32,C302357663,125831.0,0.0,C1149080047,8174.0,1713718.4,0,0
8,TRANSFER,91009.55,C2039583763,284.0,0.0,C1756877039,18423.55,225417.28,0,0
8,PAYMENT,11618.27,C2035813201,117016.0,105397.73,M401571033,0.0,0.0,0,0
8,CASH_IN,259151.44,C122016570,48874.0,308025.44,C1771190979,0.0,0.0,0,0
8,CASH_OUT,371923.95,C154603718,0.0,0.0,C1915163610,821608.59,1232867.65,0,0
8,CASH_OUT,74803.13,C575498927,0.0,0.0,C314019925,418776.02,493579.15,0,0
8,PAYMENT,22104.26,C144179002,19398.0,0.0,M1963915749,0.0,0.0,0,0
8,PAYMENT,10902.61,C2019128739,2503327.65,2492425.04,M1172342224,0.0,0.0,0,0
8,CASH_IN,247493.46,C807576590,1582083.41,1829576.87,C278407008,383899.32,136405.86,0,0
8,TRANSFER,1397530.26,C1613823294,45505.41,0.0,C1335946878,1616048.41,3529395.92,0,0
8,CASH_IN,227150.25,C1913503081,49809.0,276959.25,C1409091101,984.06,0.0,0,0
8,PAYMENT,3842.42,C1077424703,30143.0,26300.58,M737758778,0.0,0.0,0,0
8,CASH_OUT,89897.18,C1819264113,0.0,0.0,C2072302823,484009.0,1678192.82,0,0
8,CASH_OUT,291669.37,C586623808,291967.26,297.89,C2120528456,657124.13,1241356.4,0,0
9,PAYMENT,7228.29,C799334299,21568.0,14339.71,M362416052,0.0,0.0,0,0
9,CASH_OUT,212424.19,C764874606,0.0,0.0,C258825018,250640.28,463064.48,0,0
9,CASH_IN,67568.2,C1578052029,8400227.43,8467795.64,C1508172710,80693.0,13124.8,0,0
9,CASH_OUT,57590.89,C1635517693,0.0,0.0,C1553217607,860066.03,889018.33,0,0
9,CASH_OUT,545987.97,C1381048470,0.0,0.0,C185353840,1590001.45,2135989.42,0,0
9,PAYMENT,11956.41,C104029024,0.0,0.0,M248892541,0.0,0.0,0,0
9,CASH_IN,106975.38,C2130679960,260801.12,367776.49,C1987564320,585039.8,583658.85,0,0
9,CASH_OUT,293118.52,C866168818,766132.25,473013.73,C1599334040,1010513.82,1712613.45,0,0
