step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
209,CASH_IN,353865.88,C1173033313,3456374.92,3810240.8,C162323653,2417572.97,2063707.09,0,0
688,CASH_IN,84772.17,C818169409,15339214.86,15423987.03,C544384556,190004.17,105231.99,0,0
252,PAYMENT,9149.56,C1590412837,0.0,0.0,M1790286667,0.0,0.0,0,0
161,CASH_OUT,48578.21,C935266019,0.0,0.0,C541473967,662792.52,711370.72,0,0
182,CASH_OUT,29696.7,C1560284367,0.0,0.0,C1274316524,222973.79,252670.5,0,0
143,PAYMENT,11388.59,C1954395566,157125.0,145736.41,M499818022,0.0,0.0,0,0
376,TRANSFER,524046.83,C1234723231,0.0,0.0,C1153002838,916933.15,1440979.98,0,0
370,TRANSFER,1288958.14,C936657970,10749.0,0.0,C1687475131,0.0,1288958.14,0,0
403,CASH_OUT,152843.06,C1884708856,32012.0,0.0,C1365724520,833689.4,986532.46,0,0
235,CASH_OUT,135806.57,C675114939,0.0,0.0,C2049985112,482734.11,618540.68,0,0
661,TRANSFER,93553.11,C842649804,0.0,0.0,C895286396,179246.03,272799.14,0,0
394,CASH_OUT,87189.08,C1936235185,4790.27,0.0,C1525373706,964620.59,1051809.67,0,0
276,CASH_OUT,51479.3,C1638610142,29950.0,0.0,C813566681,1312.97,52792.28,0,0
355,CASH_OUT,19289.69,C883233132,161.0,0.0,C439426421,3473015.57,3579375.47,0,0
306,PAYMENT,10255.85,C169318822,55159.0,44903.15,M754802679,0.0,0.0,0,0
16,CASH_IN,183966.01,C2074151316,19993.0,203959.01,C1736295761,688936.04,504970.03,0,0
13,CASH_OUT,33168.35,C297085545,13823.48,0.0,C442062693,583562.04,625645.86,0,0
155,PAYMENT,18653.0,C583648102,490339.72,471686.72,M576420997,0.0,0.0,0,0
297,TRANSFER,1521663.8,C672516863,0.0,0.0,C1976521776,3091120.94,4612784.74,0,0
332,PAYMENT,10237.97,C23552828,0.0,0.0,M669591998,0.0,0.0,0,0
184,PAYMENT,35967.73,C405278793,51615.0,15647.27,M1306942387,0.0,0.0,0,0
209,CASH_IN,148058.67,C58678061,1489791.9,1637850.56,C1319312181,697682.15,549623.49,0,0
321,TRANSFER,823554.71,C50974780,49791.0,0.0,C1939703768,0.0,823554.71,0,0
119,CASH_OUT,2036.78,C2052245608,0.0,0.0,C1761012779,2781789.64,2783826.42,0,0
525,PAYMENT,4957.8,C92326506,0.0,0.0,M443121964,0.0,0.0,0,0
102,CASH_OUT,22025.14,C505649715,22025.14,0.0,C2023092141,1730076.39,1752101.53,1,0
273,CASH_OUT,8190.87,C1447018758,42390.0,34199.13,C398165139,118585.12,126775.98,0,0
12,TRANSFER,1869387.16,C1725019659,0.0,0.0,C1955746028,6342244.94,7949641.3,0,0
328,TRANSFER,39854.94,C334076045,0.0,0.0,C1250106111,916662.92,956517.87,0,0
156,TRANSFER,99673.87,C734392413,0.0,0.0,C2074347272,407469.81,507143.68,0,0
542,CASH_OUT,5586.67,C223605331,0.0,0.0,C1359856019,186471.97,192058.64,0,0
187,PAYMENT,1219.11,C1393674858,0.0,0.0,M819918987,0.0,0.0,0,0
43,PAYMENT,16868.67,C1524771313,63.0,0.0,M919020703,0.0,0.0,0,0
207,CASH_OUT,193407.45,C1132592241,0.0,0.0,C1648956503,1834135.81,2027543.26,0,0
612,CASH_OUT,130145.54,C838763339,471818.32,341672.77,C574885261,802256.31,932401.85,0,0
461,TRANSFER,873356.47,C1856023832,873356.47,0.0,C625389009,0.0,0.0,1,0
235,TRANSFER,81262.36,C1370062878,19.0,0.0,C905899347,20080.64,101343.0,0,0
307,CASH_IN,190363.12,C806111647,68082.0,258445.12,C1489098388,7074529.72,6884166.6,0,0
201,CASH_OUT,158091.15,C1171464339,765.0,0.0,C501040284,811683.18,969774.33,0,0
210,CASH_OUT,232688.39,C235269461,810487.0,577798.61,C1186729456,382179.13,614867.53,0,0
307,PAYMENT,24530.34,C462087181,304.0,0.0,M898515719,0.0,0.0,0,0
71,CASH_OUT,304085.48,C1476565151,304085.48,0.0,C1637975724,152325.14,456410.63,1,0
399,CASH_OUT,179363.22,C1403011800,0.0,0.0,C171212443,198889.35,378252.57,0,0
10,PAYMENT,20084.09,C1925972679,0.0,0.0,M1599456954,0.0,0.0,0,0
400,CASH_OUT,267397.78,C1053016697,2057.0,0.0,C330687527,0.0,267397.78,0,0
